Date,Description,Amount
2025-07-01,WELLS FARGO HM MORTGAGE PMT,-4298.06
2025-07-02,SAFEWAY #1842,-115.36
2025-07-03,DOORDASH*ORDER,-28.76
2025-07-03,BLUE BOTTLE COFFEE,-8.68
2025-07-04,GEICO AUTO INSURANCE,-168.0
2025-07-04,STARBUCKS STORE 09122,-6.99
2025-07-04,STARBUCKS STORE 09122,-5.3
2025-07-05,AMAZON.COM*MKTPLACE,-35.67
2025-07-06,AMAZON.COM*MKTPLACE,-21.09
2025-07-06,PETCO ANIMAL SUPPLIES,-72.64
2025-07-07,NETFLIX.COM,-22.99
2025-07-08,SHELL OIL 574812,-74.27
2025-07-09,STARBUCKS STORE 09122,-5.51
2025-07-09,PHILZ COFFEE,-5.79
2025-07-09,CHEVRON 0093471,-46.15
2025-07-10,TRANSFER TO SAVINGS - VANGUARD,-2500.0
2025-07-10,SAFEWAY #1842,-99.86
2025-07-10,DOORDASH*ORDER,-26.16
2025-07-10,STARBUCKS STORE 09122,-5.69
2025-07-11,TRADER JOES #221,-86.34
2025-07-12,TARGET T-1189,-62.8
2025-07-13,DOORDASH*ORDER,-29.41
2025-07-13,STARBUCKS STORE 09122,-5.43
2025-07-13,STARBUCKS STORE 09122,-8.33
2025-07-13,CHIPOTLE 2244,-22.26
2025-07-13,NAPOLI PIZZA KITCHEN,-28.19
2025-07-13,SHELL OIL 574812,-54.49
2025-07-14,VERIZON WIRELESS AUTOPAY,-142.64
2025-07-14,DOORDASH*ORDER,-44.69
2025-07-14,DOORDASH*ORDER,-34.11
2025-07-14,STARBUCKS STORE 09122,-8.33
2025-07-14,BARREL HOUSE BREWERY,-88.3
2025-07-14,AMAZON.COM*MKTPLACE,-69.49
2025-07-15,COMCAST XFINITY INTERNET,-89.99
2025-07-15,HULU + DISNEY BUNDLE,-18.99
2025-07-15,TOYOTA FINANCIAL AUTO LOAN,-528.0
2025-07-15,TRADER JOES #221,-65.45
2025-07-15,UBER TRIP,-35.3
2025-07-16,SPOTIFY USA,-19.99
2025-07-16,PHILZ COFFEE,-8.09
2025-07-16,CHIPOTLE 2244,-12.64
2025-07-16,AMAZON.COM*MKTPLACE,-57.25
2025-07-16,KAISER PERMANENTE MEDICAL,-343.71
2025-07-17,HOA DUES - OAKRIDGE HOMEOWNERS,-285.0
2025-07-17,APPLE.COM/BILL ICLOUD,-9.99
2025-07-17,CLASSPASS INC,-79.0
2025-07-17,STARBUCKS STORE 09122,-8.08
2025-07-17,HOME DEPOT #6612,-39.39
2025-07-17,BANANA REPUBLIC SHOP,-142.42
2025-07-17,DIRECT DEPOSIT PAYROLL,9800.0
2025-07-18,ADOBE CREATIVE CLOUD,-59.99
2025-07-18,COSTCO WHOLESALE #1103,-221.29
2025-07-18,BARREL HOUSE BREWERY,-82.09
2025-07-18,DIRECT DEPOSIT PAYROLL - SPOUSE,6200.0
2025-07-19,TRADER JOES #221,-84.77
2025-07-19,WHOLE FOODS MARKET,-72.79
2025-07-20,DOORDASH*ORDER,-66.85
2025-07-20,SUSHI RAN RESTAURANT,-76.46
2025-07-20,AMAZON.COM*MKTPLACE,-95.62
2025-07-20,LYFT RIDE,-20.26
2025-07-20,BRIGHT SMILE DENTAL,-126.93
2025-07-21,UBEREATS,-32.88
2025-07-21,STARBUCKS STORE 09122,-8.15
2025-07-21,DIRECT DEPOSIT PAYROLL - SPOUSE,6200.0
2025-07-22,AMAZON.COM*MKTPLACE,-75.94
2025-07-23,WHOLE FOODS MARKET,-93.89
2025-07-23,CHIPOTLE 2244,-22.74
2025-07-23,LYFT RIDE,-17.75
2025-07-23,BART CLIPPER RELOAD,-40.0
2025-07-23,CVS/PHARMACY #4471,-60.26
2025-07-24,CHEWY.COM PET SUPPLIES,-88.02
2025-07-24,UBEREATS,-48.66
2025-07-24,NAPOLI PIZZA KITCHEN,-57.16
2025-07-24,TARGET T-1189,-85.25
2025-07-25,BLUE BOTTLE COFFEE,-9.8
2025-07-25,AMAZON.COM*MKTPLACE,-54.86
2025-07-25,CVS/PHARMACY #4471,-51.41
2025-07-26,EBMUD WATER SERVICE,-104.02
2025-07-26,HBO MAX SUBSCRIPTION,-16.99
2025-07-26,BLUE BOTTLE COFFEE,-7.43
2025-07-26,BART CLIPPER RELOAD,-40.0
2025-07-27,NELNET STUDENT LOAN PMT,-412.0
2025-07-27,SAFEWAY #1842,-161.59
2025-07-27,PHILZ COFFEE,-6.23
2025-07-27,UBER TRIP,-17.97
2025-07-28,PG&E ENERGY STATEMENT,-190.29
2025-07-28,UBEREATS,-22.73
2025-07-28,CHEVRON 0093471,-66.2
2025-07-29,EQUINOX FITNESS SF,-215.0
2025-07-29,SAFEWAY #1842,-149.73
2025-07-29,STARBUCKS STORE 09122,-6.64
2025-07-29,STARBUCKS STORE 09122,-5.72
2025-07-29,UBER TRIP,-25.09
2025-07-29,DIRECT DEPOSIT PAYROLL,9800.0
2025-07-30,YOUTUBE PREMIUM,-13.99
2025-07-30,SAFEWAY #1842,-170.34
2025-07-30,AMAZON.COM*MKTPLACE,-114.2
2025-07-30,SHELL OIL 574812,-58.03
2025-07-31,BRIGHT HORIZONS PRESCHOOL,-1850.0
2025-07-31,STARBUCKS STORE 09122,-10.02
2025-07-31,PHILZ COFFEE,-4.62
2025-07-31,SHELL OIL 574812,-51.95
2025-07-31,UBER TRIP,-36.04
2025-08-01,TRADER JOES #221,-58.09
2025-08-01,UBEREATS,-24.9
2025-08-01,PHILZ COFFEE,-8.02
2025-08-01,AMAZON.COM*MKTPLACE,-35.7
2025-08-02,VERIZON WIRELESS AUTOPAY,-139.01
2025-08-02,DOORDASH*ORDER,-38.71
2025-08-03,HOA DUES - OAKRIDGE HOMEOWNERS,-285.0
2025-08-03,DIRECT DEPOSIT PAYROLL,9800.0
2025-08-04,TRADER JOES #221,-80.07
2025-08-04,CHIPOTLE 2244,-12.56
2025-08-04,SHELL OIL 574812,-69.38
2025-08-06,APPLE.COM/BILL ICLOUD,-9.99
2025-08-06,STARBUCKS STORE 09122,-6.55
2025-08-06,AMAZON.COM*MKTPLACE,-30.78
2025-08-06,TARGET T-1189,-92.06
2025-08-07,STARBUCKS STORE 09122,-9.88
2025-08-07,STARBUCKS STORE 09122,-6.22
2025-08-07,PHILZ COFFEE,-7.59
2025-08-07,AMAZON.COM*MKTPLACE,-47.15
2025-08-07,BART CLIPPER RELOAD,-40.0
2025-08-07,BRIGHT SMILE DENTAL,-199.21
2025-08-07,BANANA REPUBLIC SHOP,-101.18
2025-08-08,HBO MAX SUBSCRIPTION,-16.99
2025-08-08,DOORDASH*ORDER,-71.09
2025-08-08,BLUE BOTTLE COFFEE,-6.08
2025-08-08,CHIPOTLE 2244,-12.78
